product_id,item_id,item_seq,team_name,brand_name,category_name1,category_name2,category_name3,category_name4,color,product_name,unit_name,unit_scale
100001,SDFDAAAA,1,식품팀,솔담건강,식품,장류,간장,,,솔담건강 양조간장,개,1
100002,SDFDAAAB,2,식품팀,솔담건강,식품,장류,된장,,,솔담건강 재래식된장,개,1
100003,SDFDAAAC,3,식품팀,솔담건강,식품,장류,고추장,,,솔담건강 태양초고추장,개,1
100004,SDFDAAAD,4,식품팀,솔담건강,식품,장류,쌈장,,,솔담건강 구수한쌈장,개,1
100005,SDFDAAAE,5,식품팀,솔담건강,식품,소스류,조리소스,,,솔담건강 떡볶이양념,개,1
100006,SDFDAAAF,6,식품팀,솔담건강,식품,식용유지,참기름,,,솔담건강 참기름,개,1
100007,SDFDAAAG,7,식품팀,솔담건강,식품,식용유지,들기름,,,솔담건강 들기름,개,1
100008,SDFDAAAH,8,식품팀,솔담건강,식품,조미식품,깨,,,솔담건강 볶음참깨,개,1
100009,SDFDAAAI,9,식품팀,솔담건강,식품,조미식품,고춧가루,,,솔담건강 고운고춧가루,개,1
100010,SDFDAAAJ,10,식품팀,솔담건강,식품,조미식품,소금,,,솔담건강 천일염,개,1
100011,SDFDAAAK,11,식품팀,솔담건강,식품,차·음료,청,,,솔담건강 매실청,개,1
100012,SDFDAAAL,12,식품팀,솔담건강,식품,차·음료,과일차,,,솔담건강 유자차,개,1
100013,SDFDAAAM,13,식품팀,솔담건강,식품,차·음료,전통차,,,솔담건강 생강차,개,1
100014,SDFDAAAN,14,식품팀,솔담건강,식품,차·음료,침출차,,,솔담건강 보리차,개,1
100015,SDFDAAAO,15,식품팀,솔담건강,식품,차·음료,침출차,,,솔담건강 옥수수차,개,1
100016,SDFDAAAP,16,식품팀,솔담건강,식품,곡물가공,누룽지,,,솔담건강 현미누룽지,개,1
100017,SDFDAAAQ,17,식품팀,솔담건강,식품,곡물가공,누룽지,,,솔담건강 찹쌀누룽지,개,1
100018,SDFDAAAR,18,식품팀,솔담건강,식품,스낵,부각,,,솔담건강 김부각,개,1
100019,SDFDAAAS,19,식품팀,솔담건강,식품,스낵,부각,,,솔담건강 다시마부각,개,1
100020,SDFDAAAT,20,식품팀,솔담건강,식품,스낵,곡물스낵,,,솔담건강 인절미스낵,개,1
100021,SDFDAAAU,21,식품팀,솔담건강,식품,수산가공,김,,,솔담건강 구운김,개,1
100022,SDFDAAAV,22,식품팀,솔담건강,식품,수산가공,김자반,,,솔담건강 김자반,개,1
100023,SDFDAAAW,23,식품팀,솔담건강,식품,수산가공,미역,,,솔담건강 자른미역,개,1
100024,SDFDAAAX,24,식품팀,솔담건강,식품,수산가공,다시마,,,솔담건강 육수용다시마,개,1
100025,SDFDAAAY,25,식품팀,솔담건강,식품,농산가공,건버섯,,,솔담건강 건표고버섯,개,1
100026,SDFDAAAZ,26,식품팀,솔담건강,식품,조미식품,육수팩,,,솔담건강 멸치육수팩,개,1
100027,SDFDAABA,27,식품팀,솔담건강,식품,조미식품,육수팩,,,솔담건강 황태육수팩,개,1
100028,SDFDAABB,28,식품팀,솔담건강,식품,국·탕,곰탕,,,솔담건강 사골곰탕,개,1
100029,SDFDAABC,29,식품팀,솔담건강,식품,국·탕,국,,,솔담건강 소고기미역국,개,1
100030,SDFDAABD,30,식품팀,솔담건강,식품,국·탕,탕,,,솔담건강 육개장,개,1
100031,SDFDAABE,31,식품팀,솔담건강,식품,국·탕,탕,,,솔담건강 설렁탕,개,1
100032,SDFDAABF,32,식품팀,솔담건강,식품,국·탕,탕,,,솔담건강 갈비탕,개,1
100033,SDFDAABG,33,식품팀,솔담건강,식품,찌개,찌개,,,솔담건강 된장찌개,개,1
100034,SDFDAABH,34,식품팀,솔담건강,식품,찌개,찌개,,,솔담건강 김치찌개,개,1
100035,SDFDAABI,35,식품팀,솔담건강,식품,찌개,찌개,,,솔담건강 순두부찌개,개,1
100036,SDFDAABJ,36,식품팀,솔담건강,식품,소스류,면소스,,,솔담건강 비빔장,개,1
100037,SDFDAABK,37,식품팀,솔담건강,식품,소스류,육수,,,솔담건강 냉면육수,개,1
100038,SDFDAABL,38,식품팀,솔담건강,식품,면류,건면,,,솔담건강 메밀국수,개,1
100039,SDFDAABM,39,식품팀,솔담건강,식품,면류,생면,,,솔담건강 칼국수면,개,1
100040,SDFDAABN,40,식품팀,솔담건강,식품,떡류,떡,,,솔담건강 쌀떡볶이떡,개,1
100041,SDFDAABO,41,식품팀,솔담건강,식품,양곡,쌀,,,솔담건강 현미쌀,개,1
100042,SDFDAABP,42,식품팀,솔담건강,식품,양곡,잡곡,,,솔담건강 찰보리,개,1
100043,SDFDAABQ,43,식품팀,솔담건강,식품,양곡,잡곡,,,솔담건강 혼합잡곡,개,1
100044,SDFDAABR,44,식품팀,솔담건강,식품,양곡,콩,,,솔담건강 서리태,개,1
100045,SDFDAABS,45,식품팀,솔담건강,식품,곡물가공,곡물분말,,,솔담건강 볶음콩가루,개,1
100046,SDFDAABT,46,식품팀,솔담건강,식품,과자,한과,,,솔담건강 전통약과,개,1
100047,SDFDAABU,47,식품팀,솔담건강,식품,과자,한과,,,솔담건강 찹쌀유과,개,1
100048,SDFDAABV,48,식품팀,솔담건강,식품,과자,쌀과자,,,솔담건강 현미쌀과자,개,1
100049,SDFDAABW,49,식품팀,솔담건강,식품,과자,강정,,,솔담건강 곡물강정,개,1
100050,SDFDAABX,50,식품팀,솔담건강,식품,과자,김스낵,,,솔담건강 참깨김스낵,개,1
100051,HWFDAAAA,1,식품팀,한결웰빙,식품,소스류,파스타소스,,,한결웰빙 토마토파스타소스,개,1
100052,HWFDAAAB,2,식품팀,한결웰빙,식품,소스류,파스타소스,,,한결웰빙 로제파스타소스,개,1
100053,HWFDAAAC,3,식품팀,한결웰빙,식품,소스류,페스토,,,한결웰빙 바질페스토,개,1
100054,HWFDAAAD,4,식품팀,한결웰빙,식품,식용유지,올리브유,,,한결웰빙 엑스트라버진올리브유,개,1
100055,HWFDAAAE,5,식품팀,한결웰빙,식품,소스류,드레싱,,,한결웰빙 발사믹드레싱,개,1
100056,HWFDAAAF,6,식품팀,한결웰빙,식품,시리얼,그래놀라,,,한결웰빙 그래놀라,개,1
100057,HWFDAAAG,7,식품팀,한결웰빙,식품,시리얼,오트밀,,,한결웰빙 오트밀,개,1
100058,HWFDAAAH,8,식품팀,한결웰빙,식품,과자,크래커,,,한결웰빙 통밀크래커,개,1
100059,HWFDAAAI,9,식품팀,한결웰빙,식품,견과류,혼합견과,,,한결웰빙 견과믹스,개,1
100060,HWFDAAAJ,10,식품팀,한결웰빙,식품,과일가공,건과일,,,한결웰빙 건과일믹스,개,1
100061,HWFDAAAK,11,식품팀,한결웰빙,식품,잼류,땅콩버터,,,한결웰빙 땅콩버터,개,1
100062,HWFDAAAL,12,식품팀,한결웰빙,식품,잼류,과일잼,,,한결웰빙 딸기잼,개,1
100063,HWFDAAAM,13,식품팀,한결웰빙,식품,잼류,과일잼,,,한결웰빙 블루베리잼,개,1
100064,HWFDAAAN,14,식품팀,한결웰빙,식품,당류,꿀,,,한결웰빙 아카시아꿀,개,1
100065,HWFDAAAO,15,식품팀,한결웰빙,식품,당류,시럽,,,한결웰빙 메이플시럽,개,1
100066,HWFDAAAP,16,식품팀,한결웰빙,식품,즉석식품,카레,,,한결웰빙 즉석카레,개,1
100067,HWFDAAAQ,17,식품팀,한결웰빙,식품,즉석식품,짜장,,,한결웰빙 짜장소스,개,1
100068,HWFDAAAR,18,식품팀,한결웰빙,식품,즉석식품,수프,,,한결웰빙 콘수프,개,1
100069,HWFDAAAS,19,식품팀,한결웰빙,식품,즉석식품,수프,,,한결웰빙 양송이스프,개,1
100070,HWFDAAAT,20,식품팀,한결웰빙,식품,즉석식품,수프,,,한결웰빙 감자수프,개,1
100071,LHAPAAAA,1,가전팀,루미에르홈,가전,청소가전,청소기,단품,화이트,루미에르홈 무선청소기,개,1
100072,LHAPAAAA,1,가전팀,루미에르홈,가전,청소가전,청소기,단품,차콜,루미에르홈 무선청소기,개,1
100073,LHAPAAAA,1,가전팀,루미에르홈,가전,청소가전,청소기,본품+소모품,베이지,루미에르홈 무선청소기,개,1
100074,LHAPAAAB,2,가전팀,루미에르홈,가전,계절가전,공기청정기,단품,화이트,루미에르홈 공기청정기,개,1
